,symbol,company_name,industry,market_cap
0,A,Agilent Technologies,Life Sciences Tools & Services,35830000000.0
1,AA,Alcoa,Metals & Mining,10760000000.0
2,AAC,Ares Acquisition,Blank Check / SPAC,1220000000.0
3,AACG,ATA Creativity Global,Diversified Consumer Services,33180000.0
4,AACI,Armada Acquisition I,Blank Check / SPAC,203990000.0
5,AADI,Aadi Bioscience,Biotechnology,293610000.0
6,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,102120000.0
7,AAL,American Airlines Group,Airlines,11170000000.0
8,AAMC,Altisource Asset Management,Real Estate Management & Development,22680000.0
9,AAME,Atlantic American,Insurance,60120000.0
10,AAN,The Aaron's Company,Specialty Retail,613870000.0
11,AAOI,Applied Optoelectronics,Communications Equipment,64390000.0
12,AAON,"AAON, Inc.",Building Products,2830000000.0
13,AAP,Advance Auto Parts,Specialty Retail,12900000000.0
14,AAPL,Apple,"Technology Hardware, Storage & Periph...",381000000000.0
15,AAQC,Accelerate Acquisition,Blank Check / SPAC,487000000.0
16,AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2520000000.0
17,AATC,Autoscope Technologies,Scientific & Technical Instruments,30870000.0
18,AAU,Almaden Minerals,Metals & Mining,39730000.0
19,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,1980000000.0
20,AB,AllianceBernstein Holding,Capital Markets,3800000000.0
21,ABB,ABB Ltd,Electrical Equipment,58140000000.0
22,ABBV,AbbVie,Biotechnology,271250000000.0
23,ABC,AmerisourceBergen,Health Care Providers & Services,32020000000.000004
24,ABCB,Ameris Bancorp,Banks,2970000000.0
25,ABCL,AbCellera Biologics,Biotechnology,2060000000.0
26,ABCM,Abcam,Biotechnology,3080000000.0
27,ABEO,Abeona Therapeutics,Biotechnology,23860000.0
28,ABEV,Ambev,Beverages,45010000000.0
29,ABG,Asbury Automotive Group,Specialty Retail,4250000000.0
30,ABGI,ABG Acquisition I,Blank Check / SPAC,189460000.0
31,ABIO,ARCA biopharma,Biotechnology,33000000.0
32,ABM,ABM Industries,Commercial Services & Supplies,2960000000.0
33,ABMD,Abiomed,Health Care Equipment & Supplies,11580000000.0
34,ABNB,Airbnb,"Hotels, Restaurants & Leisure",78420000000.0
35,ABOS,Acumen Pharmaceuticals,Biotechnology,134850000.0
36,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2700000000.0
37,ABSI,Absci,Biotechnology,355600000.0
38,ABST,Absolute Software,Software-Application,425650000.0
39,ABT,Abbott Laboratories,Health Care Equipment & Supplies,192390000000.0
40,ABTX,Allegiance Bancshares,Banks,815400000.0
41,ABUS,Arbutus Biopharma,Biotechnology,343560000.0
42,ABVC,ABVC BioPharma,Biotechnology,67890000.0
43,AC,Associated Capital Group,Capital Markets,872930000.0
44,ACA,Arcosa,Construction & Engineering,2520000000.0
45,ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,297900000.0
46,ACAD,ACADIA Pharmaceuticals,Biotechnology,2720000000.0
47,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,420470000.0
48,ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,321740000.0
49,ACAX,Alset Capital Acquisition,Blank Check / SPAC,104600000.0
50,ACB,Aurora Cannabis,Pharmaceuticals,609960000.0
51,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61990000.0
52,ACC,American Campus Communities,Equity Real Estate Investment Trusts ...,17940000000.0
53,ACCD,Accolade,Health Care Technology,413860000.0
54,ACCO,ACCO Brands,Commercial Services & Supplies,712850000.0
55,ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,374250000.0
56,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1050000000.0
57,ACER,Acer Therapeutics,Pharmaceuticals,29700000.0
58,ACET,Adicet Bio,Health Care Providers & Services,473250000.0
59,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,138690000.0
60,ACGL,Arch Capital Group,Insurance,17290000000.0
61,ACH,Aluminum Corporation of China,Metals & Mining,10730000000.0
62,ACHC,Acadia Healthcare Company,Health Care Providers & Services,6390000000.0
63,ACHL,Achilles Therapeutics,Biotechnology,86550000.0
64,ACHR,Archer Aviation,Aerospace & Defense,962180000.0
65,ACHV,Achieve Life Sciences,Biotechnology,62910000.0
66,ACI,Albertsons Companies,Grocery Stores,15670000000.0
67,ACII,Atlas Crest Investment II,Blank Check / SPAC,421330000.0
68,ACIU,AC Immune,Biotechnology,249600000.0
69,ACIW,ACI Worldwide,Software,2960000000.0
70,ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,156570000.0
71,ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,1940000000.0
72,ACLX,Arcellx,Biotechnology,318410000.0
73,ACM,AECOM,Construction & Engineering,9410000000.0
74,ACMR,ACM Research,Semiconductors & Semiconductor Equipment,840790000.0
75,ACN,Accenture,IT Services,181790000000.0
76,ACNB,ACNB Corporation,Banks,284200000.0
77,ACON,Aclarion,Health Information Services,11420000.0
78,ACOR,Acorda Therapeutics,Biotechnology,9690000.0
79,ACQR,Independence Holdings,Blank Check / SPAC,608550000.0
80,ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,100740000.0
81,ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,713950000.0
82,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,416590000.0
83,ACRS,Aclaris Therapeutics,Pharmaceuticals,709100000.0
84,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,30840000.0
85,ACST,Acasti Pharma,Pharmaceuticals,41140000.0
86,ACT,Enact Holdings,Insurance-Specialty,3820000000.0
87,ACTD,ArcLight Clean Transition II,Blank Check / SPAC,383900000.0
88,ACTG,Acacia Research,Professional Services,207740000.0
89,ACU,Acme United,Commercial Services & Supplies,115130000.0
90,ACVA,ACV Auctions,Software-Application,1400000000.0
91,ACXP,Acurx Pharmaceuticals,Biotechnology,29100000.0
92,ADAG,Adagene,Biotechnology,140800000.0
93,ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,300370000.0
94,ADAP,Adaptimmune Therapeutics,Biotechnology,228230000.0
95,ADBE,Adobe,Software,191580000000.0
96,ADC,Agree Realty,Equity Real Estate Investment Trusts ...,5160000000.0
97,ADCT,ADC Therapeutics,Communications Equipment,567630000.0
98,ADER,26 Capital Acquisition,Blank Check / SPAC,338590000.0
99,ADES,Advanced Emissions Solutions,Chemicals,97770000.0
100,ADEX,Adit EdTech Acquisition,Blank Check / SPAC,340860000.0
101,ADGI,Adagio Therapeutics,Biotechnology,298320000.0
102,ADI,Analog Devices,Semiconductors & Semiconductor Equipment,83070000000.0
103,ADIL,Adial Pharmaceuticals,Pharmaceuticals,30600000.0
104,ADM,Archer-Daniels-Midland Company,Food Products,48050000000.0
105,ADMA,ADMA Biologics,Biotechnology,345120000.0
106,ADMP,Adamis Pharmaceuticals,Pharmaceuticals,57630000.0
107,ADN,Advent Technologies Holdings,Utilities-Renewable,86620000.0
108,ADNT,Adient,Auto Components,3010000000.0
109,ADOC,Edoc Acquisition,Blank Check / SPAC,55920000.0
110,ADP,Automatic Data Processing,IT Services,87220000000.0
111,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1170000000.0
112,ADRA,Adara Acquisition,Blank Check / SPAC,141450000.0
113,ADRT,Ault Disruptive Technologies,Blank Check / SPAC,143180000.0
114,ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,280160000.0
115,ADSK,Autodesk,Software,42870000000.0
116,ADT,ADT Inc.,Commercial Services & Supplies,6340000000.0
117,ADTH,AdTheorent Holding Company,Advertising Agencies,793990000.0
118,ADTN,ADTRAN,Communications Equipment,876550000.0
119,ADTX,Aditx,Biotechnology,12660000.0
120,ADUS,Addus HomeCare,Health Care Providers & Services,1310000000.0
121,ADV,Advantage Solutions,Advertising Agencies,1410000000.0
122,ADVM,Adverum Biotechnologies,Biotechnology,88330000.0
123,ADXN,Addex Therapeutics,Biotechnology,27940000.0
124,ADXS,Advaxis,Biotechnology,9320000.0
125,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",148490000.0
126,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,294300000.0
127,AEAE,AltEnergy Acquisition,Blank Check / SPAC,285770000.0
128,AEE,Ameren,Multi-Utilities,24250000000.0
129,AEG,Aegon,Insurance,10430000000.0
130,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,133840000.0
131,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,4540000.0
132,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,216190000.0
133,AEI,Alset EHome International,Real Estate-Development,39630000.0
134,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,2990000000.0
135,AEL,American Equity Investment Life Holding Company,Insurance,3170000000.0
136,AEM,Agnico Eagle Mines,Metals & Mining,23150000000.0
137,AEMD,Aethlon Medical,Health Care Equipment & Supplies,15870000.0
138,AENZ,Aenza,Engineering & Construction,349520000.0
139,AEO,American Eagle Outfitters,Specialty Retail,2430000000.0
140,AEP,American Electric Power Company,Electric Utilities,51200000000.0
141,AER,AerCap Holdings,Trading Companies & Distributors,10970000000.0
142,AERC,AeroClean Technologies,Pollution & Treatment Controls,29140000.0
143,AERI,Aerie Pharmaceuticals,Pharmaceuticals,339580000.0
144,AES,The AES Corporation,Independent Power and Renewable Elect...,13520000000.0
145,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",53040000.0
146,AEVA,Aeva Technologies,Auto Parts,686880000.0
147,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",16420000.000000002
148,AEYE,AudioEye,Software,40730000.0
149,AEZS,AEterna Zentaris,Biotechnology,29750000.0
150,AFAC,Arena Fortify Acquisition,Blank Check / SPAC,215620000.0
151,AFAQ,AF Acquisition,Blank Check / SPAC,272440000.0
152,AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,125120000.0
153,AFBI,Affinity Bancshares,Banks,97100000.0
154,AFCG,AFC Gamma,REIT-Specialty,352020000.0
155,AFG,American Financial Group,Insurance,12260000000.0
156,AFI,Armstrong Flooring,Building Products,7080000.0
157,AFIB,Acutus Medical,Medical Devices,25130000.0
158,AFL,Aflac,Insurance,36250000000.0
159,AFMD,Affimed,Biotechnology,488270000.0
160,AFRM,Affirm Holdings,IT Services,6740000000.0
161,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,301250000.0
162,AFYA,Afya Limited,Diversified Consumer Services,1070000000.0000001
163,AG,First Majestic Silver,Metals & Mining,2140000000.0000002
164,AGAC,African Gold Acquisition,Blank Check / SPAC,505080000.0
165,AGBA,AGBA Acquisition,Blank Check / SPAC,56690000.0
166,AGCB,Altimeter Growth 2,Blank Check / SPAC,572230000.0
167,AGCO,AGCO Corporation,Machinery,9100000000.0
168,AGE,AgeX Therapeutics,Biotechnology,28690000.0
169,AGEN,Agenus,Biotechnology,440550000.0
170,AGFS,AgroFresh Solutions,Chemicals,89630000.0
171,AGFY,Agrify,Machinery,72740000.0
172,AGGR,Agile Growth,Blank Check / SPAC,377810000.0
173,AGI,Alamos Gold,Metals & Mining,2770000000.0
174,AGIL,AgileThought,Software-Application,199370000.0
175,AGIO,Agios Pharmaceuticals,Biotechnology,1210000000.0
176,AGL,agilon health,Medical Care Facilities,7800000000.0
177,AGLE,Aeglea Biotherapeutics,Biotechnology,84420000.0
178,AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1100000000.0
179,AGM.A,Federal Agricultural Mortgage,Credit Services,1100000000.0
180,AGMH,AGM Group Holdings,Capital Markets,45840000.0
181,AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6480000000.0
182,AGO,Assured Guaranty,Insurance,3550000000.0
183,AGR,Avangrid,Electric Utilities,17220000000.0
184,AGRI,AgriFORCE Growing Systems,Farm Products,25350000.0
185,AGRO,Adecoagro,Food Products,1140000000.0
186,AGRX,Agile Therapeutics,Pharmaceuticals,5980000.0
187,AGS,PlayAGS,"Hotels, Restaurants & Leisure",200750000.0
188,AGTC,Applied Genetic Technologies,Biotechnology,36630000.0
189,AGTI,Agiliti,Health Information Services,2430000000.0
190,AGX,Argan,Construction & Engineering,544390000.0
191,AGYS,Agilysys,Software,891200000.0
192,AHCO,AdaptHealth,Health Care Providers & Services,2180000000.0
193,AHG,Akso Health Group,Credit Services,21810000.0
194,AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1160000000.0
195,AHI,Advanced Human Imaging,Software-Application,21500000.0
196,AHPA,Avista Public Acquisition II,Blank Check / SPAC,289230000.0
197,AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,7630000.0
198,AHRN,Ahren Acquisition,Blank Check / SPAC,375370000.0
199,AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,189860000.0
200,AI,C3.ai,Software,1890000000.0
201,AIB,AIB Acquisition,Blank Check / SPAC,111280000.0
202,AIG,American International Group,Insurance,46390000000.0
203,AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,39410000.0
204,AIHS,Senmiao Technology,Consumer Finance,6670000.0
205,AIKI,AIkido Pharma,Biotechnology,29250000.0
206,AIM,AIM ImmunoTech,Biotechnology,47520000.0
207,AIMA,Aimfinity Investment I,Blank Check / SPAC,91170000.0
208,AIMC,Altra Industrial Motion,Machinery,2450000000.0
209,AIN,Albany International,Machinery,2580000000.0
210,AINC,Ashford,Capital Markets,47970000.0
211,AINV,Apollo Investment,Capital Markets,775860000.0
212,AIP,Arteris,Semiconductors,280990000.0
213,AIR,AAR Corp.,Aerospace & Defense,1600000000.0
214,AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6940000000.0
215,AIRG,Airgain,"Electronic Equipment, Instruments & C...",102300000.0
216,AIRI,Air Industries Group,Aerospace & Defense,21760000.0
217,AIRS,AirSculpt Technologies,Medical Care Facilities,490750000.0
218,AIRT,Air T,Air Freight & Logistics,46490000.0
219,AIT,Applied Industrial Technologies,Trading Companies & Distributors,4080000000.0
220,AIU,Meta Data,Diversified Consumer Services,9100000000.0
221,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,888620000.0
222,AIZ,Assurant,Insurance,9820000000.0
223,AJG,Arthur J. Gallagher & Company,Insurance,34040000000.0
224,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3190000000.0
225,AJX,Great Ajax,Mortgage Real Estate Investment Trust...,204020000.0
226,AKA,a.k.a. Brands Holding,Internet Retail,476000000.0
227,AKAM,Akamai Technologies,IT Services,15820000000.0
228,AKAN,Akanda,Drug Manufacturers-Specialty & Generic,36430000.0
229,AKBA,Akebia Therapeutics,Biotechnology,82440000.0
230,AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290420000.0
231,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1600000000.0
232,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1670000000.0
233,AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1970000000.0
234,AKRO,Akero Therapeutics,Biotechnology,328870000.0
235,AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",217700000.0
236,AKTX,Akari Therapeutics,Pharmaceuticals,57100000.0
237,AKU,Akumin,Diagnostics & Research,82880000.0
238,AKUS,Akouos,Biotechnology,109070000.0
239,AKYA,Akoya Biosciences,Medical Instruments & Supplies,373260000.0
240,AL,Air Lease,Trading Companies & Distributors,4000000000.0
241,ALB,Albemarle,Chemicals,26800000000.0
242,ALBO,Albireo Pharma,Biotechnology,547860000.0
243,ALC,Alcon,Medical Instruments & Supplies,34750000000.0
244,ALCC,AltC Acquisition,Blank Check / SPAC,619040000.0
245,ALCO,Alico,Food Products,309510000.0
246,ALDX,Aldeyra Therapeutics,Biotechnology,145170000.0
247,ALE,ALLETE,Electric Utilities,3440000000.0
248,ALEC,Alector,Biotechnology,709660000.0
249,ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1520000000.0
250,ALF,"ALFI, Inc.",Software-Infrastructure,19810000.0
251,ALG,Alamo Group,Machinery,1360000000.0
252,ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4490000000.0
253,ALGN,Align Technology,Health Care Equipment & Supplies,21710000000.0
254,ALGS,Aligos Therapeutics,Biotechnology,49950000.0
255,ALGT,Allegiant Travel Company,Airlines,2590000000.0
256,ALHC,Alignment Healthcare,Health Care Providers & Services,1740000000.0
257,ALIM,Alimera Sciences,Pharmaceuticals,30560000.0
258,ALIT,Alight,Software-Application,4500000000.0
259,ALJJ,ALJ Regional Holdings,IT Services,95420000.0
260,ALK,Alaska Air Group,Airlines,5820000000.0
261,ALKS,Alkermes,Biotechnology,4390000000.0
262,ALKT,Alkami Technology,Software-Application,979790000.0
263,ALL,The Allstate Corporation,Insurance,35250000000.0
264,ALLE,Allegion,Building Products,9900000000.0
265,ALLG,Allego,Auto Parts,2170000000.0
266,ALLK,Allakos,Biotechnology,177480000.0
267,ALLO,Allogene Therapeutics,Biotechnology,1040000000.0
268,ALLR,Allarity Therapeutics,Biotechnology,10880000.0
269,ALLT,Allot,Software,192820000.0
270,ALLY,Ally Financial,Consumer Finance,12790000000.0
271,ALNA,Allena Pharmaceuticals,Biotechnology,10950000.0
272,ALNY,Alnylam Pharmaceuticals,Biotechnology,15280000000.0
273,ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,223650000.0
274,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",87080000.0
275,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,191360000.0
276,ALPN,Alpine Immune Sciences,Biotechnology,228890000.0
277,ALPP,Alpine 4 Holdings,Metal Fabrication,144280000.0
278,ALR,AlerisLife,Medical Care Facilities,41670000.0
279,ALRM,Alarm.com Holdings,Software,2960000000.0
280,ALRN,Aileron Therapeutics,Biotechnology,35200000.0
281,ALRS,Alerus Financial,Diversified Financial Services,438440000.0
282,ALSA,Alpha Star Acquisition,Blank Check / SPAC,145280000.0
283,ALSN,Allison Transmission Holdings,Machinery,3690000000.0
284,ALT,Altimmune,Biotechnology,223030000.0
285,ALTG,Alta Equipment Group,Trading Companies & Distributors,334640000.0
286,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",360010000.0
287,ALTR,Altair Engineering,Software,4230000000.0000005
288,ALTU,Altitude Acquisition,Blank Check / SPAC,373880000.0
289,ALV,Autoliv,Auto Components,6500000000.0
290,ALVR,AlloVir,Biotechnology,277370000.0
291,ALX,Alexander's,Equity Real Estate Investment Trusts ...,1200000000.0
292,ALXO,ALX Oncology Holdings,Biotechnology,392980000.0
293,ALYA,Alithya Group,IT Services,192860000.0
294,ALZN,Alzamend Neuro,Biotechnology,87200000.0
295,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4880000000.0
296,AMAL,Amalgamated Financial,Banks,595170000.0
297,AMAM,Ambrx Biopharma,Biotechnology,155900000.0
298,AMAO,American Acquisition Opportunity,Blank Check / SPAC,44180000.0
299,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,98820000000.0
300,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,2930000000.0
301,AMBC,Ambac Financial Group,Insurance,397960000.0
302,AMBO,Ambow Education Holding,Diversified Consumer Services,15110000.0
303,AMBP,Ardagh Metal Packaging,Packaging & Containers,3800000000.0
304,AMC,AMC Entertainment Holdings,Entertainment,6060000000.0
305,AMCI,AMCI Acquisition II,Blank Check / SPAC,184870000.0
306,AMCR,Amcor,Containers & Packaging,19190000000.0
307,AMCX,AMC Networks,Media,1510000000.0
308,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,154140000000.0
309,AME,AMETEK,Electrical Equipment,27950000000.0
310,AMED,Amedisys,Health Care Providers & Services,3960000000.0
311,AMEH,Apollo Medical Holdings,Health Care Providers & Services,1660000000.0
312,AMG,Affiliated Managers Group,Capital Markets,4830000000.0
313,AMGN,Amgen,Biotechnology,130060000000.0
314,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,14990000000.0
315,AMK,AssetMark Financial Holdings,Capital Markets,1400000000.0
316,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,4740000000.0
317,AMLX,Amylyx Pharmaceuticals,Biotechnology,488950000.0
318,AMN,AMN Healthcare Services,Health Care Providers & Services,3800000000.0
319,AMNB,American National Bankshares,Banks,372850000.0
320,AMOT,Allied Motion Technologies,Electrical Equipment,368310000.0
321,AMOV,America Movil,Wireless Telecommunication Services,61840000000.0
322,AMP,Ameriprise Financial,Capital Markets,28750000000.0
323,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,49570000.0
324,AMPG,AmpliTech Group,Communication Equipment,21460000.0
325,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1730000000.0
326,AMPI,Advanced Merger Partners,Blank Check / SPAC,350750000.0
327,AMPL,Amplitude,Software-Application,1900000000.0
328,AMPS,Altus Power,Utilities-Renewable,767540000.0
329,AMPY,Amplify Energy,Oil & Gas E&P,267519999.99999997
330,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2990000000.0
331,AMRC,Ameresco,Construction & Engineering,2720000000.0
332,AMRK,A-Mark Precious Metals,Diversified Financial Services,731940000.0
333,AMRN,Amarin,Biotechnology,591540000.0
334,AMRS,Amyris,Chemicals,754520000.0
335,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1050000000.0
336,AMS,American Shared Hospital Services,Health Care Providers & Services,14290000.0
337,AMSC,American Superconductor,Electrical Equipment,146560000.0
338,AMSF,AMERISAFE,Insurance,924870000.0
339,AMST,Amesite,Software-Application,15670000.0
340,AMSWA,American Software,Software,563100000.0
341,AMT,American Tower,Equity Real Estate Investment Trusts ...,106160000000.0
342,AMTB,Amerant Bancorp,Banks,958820000.0
343,AMTD,AMTD International,Asset Management,3190000000.0
344,AMTI,Applied Molecular Transport,Biotechnology,157710000.0
345,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",261290000.00000003
346,AMWD,American Woodmark,Building Products,798870000.0
347,AMWL,American Well,Health Information Services,854840000.0
348,AMX,America Movil,Wireless Telecommunication Services,62260000000.0
349,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,526590000.00000006
350,AMZN,Amazon.com,Internet & Direct Marketing Retail,150270000000.0
351,AN,AutoNation,Specialty Retail,7210000000.0
352,ANAB,AnaptysBio,Biotechnology,595570000.0
353,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,387010000.0
354,ANAT,American National Group,Insurance,5110000000.0
355,ANDE,The Andersons,Food & Staples Retailing,1290000000.0
356,ANEB,Anebulo Pharmaceuticals,Biotechnology,72840000.0
357,ANET,Arista Networks,Communications Equipment,33390000000.0
358,ANF,Abercrombie & Fitch Company,Specialty Retail,1640000000.0
359,ANGH,Anghami,Entertainment,190180000.0
360,ANGI,Angi Inc.,Interactive Media & Services,2560000000.0
361,ANGN,Angion Biomedica,Biotechnology,38950000.0
362,ANGO,AngioDynamics,Health Care Equipment & Supplies,724800000.0
363,ANIK,Anika Therapeutics,Biotechnology,324040000.0
364,ANIP,ANI Pharmaceuticals,Pharmaceuticals,457190000.0
365,ANIX,Anixa Biosciences,Biotechnology,100110000.0
366,ANNX,Annexon,Biotechnology,125330000.0
367,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,4740000.0
368,ANSS,ANSYS,Software,22150000000.0
369,ANTE,AirNet Technology,Media,22330000.0
370,ANTM,Anthem,Health Care Providers & Services,117280000000.0
371,ANTX,AN2 Therapeutics,Health Care,331320000.0
372,ANVS,Annovis Bio,Biotechnology,76900000.0
373,ANY,Sphere 3D,Software,67740000.0
374,ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517970000.0
375,AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116010000.0
376,AOMR,Angel Oak Mortgage,REIT-Mortgage,355720000.0
377,AON,Aon plc,Insurance,59590000000.0
378,AORT,Artivion,Medical Devices,659710000.0
379,AOS,A. O. Smith,Building Products,9360000000.0
380,AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1050000000.0
381,AOUT,American Outdoor Brands,Leisure Products,153020000.0
382,AP,Ampco-Pittsburgh,Metals & Mining,88080000.0
383,APA,APA Corporation,"Oil, Gas & Consumable Fuels",13920000000.0
384,APAC,Stonebridge Acquisition,Blank Check / SPAC,249000000.0
385,APAM,Artisan Partners Asset Management,Capital Markets,2380000000.0
386,APCA,AP Acquisition,Blank Check / SPAC,215840000.0
387,APCX,AppTech Payments,Software-Infrastructure,13410000.0
388,APD,Air Products & Chemicals,Chemicals,51830000000.0
389,APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",11530000.0
390,APEI,American Public Education,Diversified Consumer Services,257010000.0
391,APEN,Apollo Endosurgery,Health Care Equipment & Supplies,171870000.0
392,APG,APi Group,Construction & Engineering,3980000000.0
393,APGB,Apollo Strategic Growth Capital II,Shell Companies,843520000.0
394,APH,Amphenol,"Electronic Equipment, Instruments & C...",42080000000.0
395,API,Agora,"Electronic Equipment, Instruments & C...",765910000.0
396,APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3760000000.0
397,APLS,Apellis Pharmaceuticals,Biotechnology,4540000000.0
398,APLT,Applied Therapeutics,Biotechnology,45130000.0
399,APM,Aptorum Group,Biotechnology,36770000.0
400,APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,180940000.0
401,APN,Apeiron Capital Investment,Blank Check / SPAC,215410000.0
402,APO,Apollo Global Management,Capital Markets,32520000000.000004
403,APOG,Apogee Enterprises,Building Products,906060000.0
404,APP,AppLovin,Software-Application,14950000000.0
405,APPF,AppFolio,Software,3280000000.0
406,APPH,AppHarvest,Food Products,304190000.0
407,APPN,Appian,Software,4110000000.0000005
408,APPS,Digital Turbine,Software,2660000000.0
409,APRE,Aprea Therapeutics,Biotechnology,26150000.0
410,APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,120190000.0
411,APSG,Apollo Strategic Growth Capital,Shell Companies,1020000000.0
412,APT,Alpha Pro Tech,Building Products,52270000.0
413,APTM,Alpha Partners Technology Merger,Blank Check / SPAC,348750000.0
414,APTO,Aptose Biosciences,Biotechnology,95920000.0
415,APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1620000000.0
416,APTV,Aptiv,Auto Components,26590000000.0
417,APTX,Aptinyx,Biotechnology,47390000.0
418,APVO,Aptevo Therapeutics,Biotechnology,23030000.0
419,APWC,Asia Pacific Wire & Cable,Electrical Equipment,24330000.0
420,APXI,APx Acquisition I,Blank Check / SPAC,214550000.0
421,APYX,Apyx Medical,Health Care Equipment & Supplies,125660000.0
422,AQB,AquaBounty Technologies,Biotechnology,93150000.0
423,AQMS,Aqua Metals,Commercial Services & Supplies,61150000.0
424,AQN,Algonquin Power & Utilities,Multi-Utilities,9520000000.0
425,AQST,Aquestive Therapeutics,Pharmaceuticals,51550000.0
426,AQUA,Evoqua Water Technologies,Machinery,4320000000.0
427,AR,Antero Resources,"Oil, Gas & Consumable Fuels",10040000000.0
428,ARAV,Aravive,Biotechnology,32000000.0
429,ARAY,Accuray,Health Care Equipment & Supplies,214370000.0
430,ARBE,Arbe Robotics,Software-Infrastructure,391650000.0
431,ARBG,Aequi Acquisition,Blank Check / SPAC,282610000.0
432,ARBK,Argo Blockchain,Capital Markets,281790000.0
433,ARC,ARC Document Solutions,Commercial Services & Supplies,138910000.0
434,ARCB,ArcBest,Road & Rail,1840000000.0
435,ARCC,Ares Capital,Capital Markets,9460000000.0
436,ARCE,Arco Platform,Diversified Consumer Services,899960000.0
437,ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2630000000.0
